"","YearWeekISO","FirstDose","FirstDoseRefused","SecondDose","UnknownDose","NumberDosesReceived","Region","Population","ReportingCountry","TargetGroup","Vaccine","Denominator"
"130","2021-W03",0,0,0,0,0,"AT",8901064,"AT","Age50_59","AZ",1396889
"131","2021-W03",0,0,0,0,0,"AT",8901064,"AT","Age50_59","JANSS",1396889
"132","2021-W03",52,0,0,0,7200,"AT",8901064,"AT","Age50_59","MOD",1396889
"133","2021-W03",0,0,0,0,0,"AT",8901064,"AT","Age60_69","AZ",1016016
"134","2021-W03",0,0,0,0,0,"AT",8901064,"AT","Age60_69","JANSS",1016016
"135","2021-W03",7117,0,455,0,58500,"AT",8901064,"AT","Age60_69","COM",1016016
"136","2021-W03",7,0,0,0,7200,"AT",8901064,"AT","Age60_69","MOD",1016016
"137","2021-W03",0,0,0,0,0,"AT",8901064,"AT","Age70_79","AZ",769199
"138","2021-W03",0,0,0,0,0,"AT",8901064,"AT","Age70_79","JANSS",769199
"139","2021-W03",7259,0,503,0,58500,"AT",8901064,"AT","Age70_79","COM",769199
"140","2021-W03",9,0,0,0,7200,"AT",8901064,"AT","Age70_79","MOD",769199
"141","2021-W03",0,0,0,0,0,"AT",8901064,"AT","Age80+","JANSS",474047
"142","2021-W03",25727,0,1318,0,58500,"AT",8901064,"AT","Age80+","COM",474047
"143","2021-W03",0,0,0,0,0,"AT",8901064,"AT","Age80+","AZ",474047
"144","2021-W03",9,0,0,0,7200,"AT",8901064,"AT","Age80+","MOD",474047
"145","2021-W04",0,0,0,0,0,"AT",8901064,"AT","1_Age60+","AZ",2259262
"146","2021-W04",0,0,0,0,0,"AT",8901064,"AT","1_Age60+","JANSS",2259262
"147","2021-W04",13773,0,6168,0,54990,"AT",8901064,"AT","1_Age60+","COM",2259262
"148","2021-W04",1165,0,0,0,0,"AT",8901064,"AT","1_Age60+","MOD",2259262
"149","2021-W04",2681,0,0,0,0,"AT",8901064,"AT","1_Age<60","MOD",5099181
"150","2021-W04",0,0,0,0,0,"AT",8901064,"AT","1_Age<60","JANSS",5099181
"151","2021-W04",13488,0,11084,0,54990,"AT",8901064,"AT","1_Age<60","COM",5099181
"152","2021-W04",0,0,0,0,0,"AT",8901064,"AT","1_Age<60","AZ",5099181
"153","2021-W04",0,0,0,0,0,"AT",8901064,"AT","ALL","AZ",7358443
"154","2021-W04",3846,0,0,0,0,"AT",8901064,"AT","ALL","MOD",7358443
"155","2021-W04",0,0,0,0,0,"AT",8901064,"AT","ALL","JANSS",7358443
"156","2021-W04",27261,0,17252,0,54990,"AT",8901064,"AT","ALL","COM",7358443
"157","2021-W04",0,0,0,0,0,"AT",8901064,"AT","Age18_24","JANSS",696064
"158","2021-W04",0,0,0,0,0,"AT",8901064,"AT","Age18_24","AZ",696064
"159","2021-W04",104,0,0,0,0,"AT",8901064,"AT","Age18_24","MOD",696064
"160","2021-W04",1284,0,691,0,54990,"AT",8901064,"AT","Age18_24","COM",696064
"161","2021-W04",0,0,0,0,0,"AT",8901064,"AT","Age25_49","JANSS",3006228
"162","2021-W04",7653,0,6203,0,54990,"AT",8901064,"AT","Age25_49","COM",3006228
"163","2021-W04",0,0,0,0,0,"AT",8901064,"AT","Age25_49","AZ",3006228
"164","2021-W04",1593,0,0,0,0,"AT",8901064,"AT","Age25_49","MOD",3006228
"165","2021-W04",983,0,0,0,0,"AT",8901064,"AT","Age50_59","MOD",1396889
"166","2021-W04",0,0,0,0,0,"AT",8901064,"AT","Age50_59","AZ",1396889
"167","2021-W04",0,0,0,0,0,"AT",8901064,"AT","Age50_59","JANSS",1396889
"168","2021-W04",4529,0,4147,0,54990,"AT",8901064,"AT","Age50_59","COM",1396889
"169","2021-W04",0,0,0,0,0,"AT",8901064,"AT","Age60_69","JANSS",1016016
"170","2021-W04",1690,0,1668,0,54990,"AT",8901064,"AT","Age60_69","COM",1016016
"171","2021-W04",621,0,0,0,0,"AT",8901064,"AT","Age60_69","MOD",1016016
"172","2021-W04",0,0,0,0,0,"AT",8901064,"AT","Age60_69","AZ",1016016
"173","2021-W04",1606,0,1299,0,54990,"AT",8901064,"AT","Age70_79","COM",769199
"174","2021-W04",0,0,0,0,0,"AT",8901064,"AT","Age70_79","JANSS",769199
"175","2021-W04",179,0,0,0,0,"AT",8901064,"AT","Age70_79","MOD",769199
"176","2021-W04",0,0,0,0,0,"AT",8901064,"AT","Age70_79","AZ",769199
"177","2021-W04",0,0,0,0,0,"AT",8901064,"AT","Age80+","JANSS",474047
"178","2021-W04",0,0,0,0,0,"AT",8901064,"AT","Age80+","AZ",474047
"179","2021-W04",10477,0,3201,0,54990,"AT",8901064,"AT","Age80+","COM",474047
"180","2021-W04",365,0,0,0,0,"AT",8901064,"AT","Age80+","MOD",474047
"181","2021-W05",0,0,0,0,36000,"AT",8901064,"AT","1_Age60+","AZ",2259262
"182","2021-W05",1294,0,0,0,28800,"AT",8901064,"AT","1_Age60+","MOD",2259262
"183","2021-W05",0,0,0,0,0,"AT",8901064,"AT","1_Age60+","JANSS",2259262
"184","2021-W05",5296,0,32689,0,66690,"AT",8901064,"AT","1_Age60+","COM",2259262
"185","2021-W05",11606,0,45296,0,66690,"AT",8901064,"AT","1_Age<60","COM",5099181
"186","2021-W05",383,0,0,0,28800,"AT",8901064,"AT","1_Age<60","MOD",5099181
